Zip Code,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,Aggregate
27501,0,0,0,0,0,0,0
27502,0,4,1,5,0,0,10
27511,0,7,8,7,6,7,35
27513,1,0,1,5,3,1,11
27518,2,7,5,1,0,4,19
27519,0,4,5,5,3,4,21
27520,0,0,1,1,0,0,2
27523,1,0,0,6,2,3,12
27526,1,3,11,5,6,7,33
27529,0,3,3,4,7,2,19
27539,1,2,0,2,1,2,8
27540,1,2,5,3,4,4,19
27545,0,1,2,4,2,3,12
27560,0,3,2,1,1,1,8
27562,0,0,0,0,1,0,1
27571,0,1,0,0,0,0,1
27587,3,5,5,7,8,7,35
27591,1,0,6,2,1,1,11
27592,0,0,1,1,2,1,5
27597,0,0,3,0,0,0,3
27601,0,1,1,1,1,2,6
27603,1,1,4,2,6,5,19
27604,0,2,3,2,2,1,10
27605,0,0,0,0,1,0,1
27606,0,3,7,0,2,0,12
27607,0,3,3,2,5,2,15
27608,1,5,1,3,1,2,13
27609,0,5,1,6,4,1,17
27610,0,5,3,1,6,3,18
27612,0,4,8,3,6,5,26
27613,0,1,0,2,2,1,6
27614,0,2,4,3,1,1,11
27615,0,3,4,7,4,3,21
27616,1,1,2,1,1,0,6
27617,0,0,0,1,0,0,1
27703,0,0,0,1,0,0,1
27713,0,1,0,0,0,0,1
Unknown,20,61,73,62,53,52,321
